status,name,slug,full_title,project_state,project_type,img,collaborators,start_year,end_year,overview,grant_number,research_directions,project_filter,official_page,description,focus_areas
publish,AIDA,aida-prin-2022,Explainable AI for integrating multimodal data in clinical applications,active,Clinical Application,aida-visual.jpg,Università degli Studi di Torino; Università degli Studi di Modena e Reggio Emilia; Università degli Studi di Cassino e del Lazio Meridionale,2023,2026,"AIDA develops explainable multimodal deep learning for healthcare scenarios where single-modality pipelines are not enough. The project investigates when and how to fuse heterogeneous evidence, how to learn stronger shared representations, and how to maintain robustness when data are incomplete or some modalities are missing. || The translational application is personalized oncology in non-small cell lung cancer, where radiomic, pathomic, and electronic health record data are combined to predict response, relapse, progression-free survival, and overall survival. The project also studies clinical trust through explainability mechanisms designed for physicians and domain experts.",20228MZFAA-AIDA (CUP C53D23003620008),"Multimodal representation learning across radiomics, pathomics, and electronic health records.; Explainable AI methods for attention, counterfactual reasoning, and user-facing clinical transparency.; Prospective validation in non-small cell lung cancer with comparison against conventional clinical markers.",aida,https://www.unicampus.it/progetto-di-ricerca/aida-prin-2022/,"Explainable multimodal deep learning for personalized oncology, with a focus on robust fusion, missing modalities, and clinical validation in non-small cell lung cancer.",Multimodal Deep Learning; Explainable AI; Personalized Oncology
publish,PICTURE,picture,Predicting pathological complete response after neoadjuvant therapies in NSCLC using multimodal data,active,Clinical Application,picture-overview.png,Università degli Studi di Torino; Università degli Studi di Cassino e del Lazio Meridionale,2023,2026,"PICTURE addresses one of the central questions in contemporary lung oncology: whether pathological complete response after neoadjuvant treatment can be predicted before surgical resection. The project assumes that a multimodal view of the patient offers a more faithful representation of treatment response than any single data source taken in isolation. || The project develops AI systems that integrate radiology imaging, histology, cytology, molecular data, and electronic health records to support pre-surgical decision-making in NSCLC. Alongside predictive performance, PICTURE emphasizes robustness, explainability, and the possibility of transferring learned models toward chemoimmunotherapy scenarios.",P2022P3CXJ-PICTURE (CUP C53D23009280001),"Fusion of radiology, histology, cytology, molecular data, and electronic health records.; Prediction of pathological complete response before surgery in NSCLC.; Robust and explainable multimodal deep learning pipelines, including transfer toward chemoimmunotherapy settings.",picture,https://www.unicampus.it/en/research-project/picture/,AI-driven prediction of pathological complete response after neoadjuvant therapies in non-small cell lung cancer through multimodal data fusion.,Pathological Response Prediction; Multimodal Learning; Explainable AI
publish,MAECI Italy-China,italy-china,Trustworthy AI-driven next generation precision medicine in COVID-19,ended,Collaborative Research,maeci-italy-china-poster.jpg,Università Campus Bio-Medico di Roma; Shenzhen University,2023,2025,"The Italy-China programme focused on trustworthy next-generation precision medicine for COVID-19, combining chest X-ray, chest CT, and clinical information to identify patients at risk of severe outcomes. The technical core of the project was multimodal deep learning for richer joint representations under limited and heterogeneous biomedical data. || Beyond pure prediction, the programme addressed explainability, counterfactual reasoning, and human-understandable concepts to make AI outputs more useful to physicians, patients, and regulators. The collaboration joined ArCo’s work on multimodal learning and explainable AI with complementary expertise in deep networks and CT-driven risk analysis.",,Multimodal signatures for severe COVID-19 outcomes using imaging and clinical variables.; Explainable AI methods for risk factor analysis and transparent prognostic modelling.; Bilateral collaboration joining chest X-ray and chest CT expertise with robust validation protocols.,maeci-italy-china,,"Bilateral research programme on trustworthy multimodal AI for COVID-19 risk analysis, explainability, and robust validation across imaging and clinical data.",COVID-19 Prognosis; Trustworthy AI; Multimodal Learning
publish,CLARO,claro,a CoLlAborative multi-sources Radiopathomics approach for personalized Oncology in non-small cell lung cancer,ended,Clinical Application,claro-logo.jpg,"Oncological Radiotherapy, Campus Bio-Medico University; Bioinformatics Systems Engineering, UCBM; Diagnostic imaging, UCBM; Medical Oncology, UCBM; Medical Oncology, University of Turin - AOU S. Luigi Gonzaga Orbassano, Italy",2019,2021,"CLARO was born from a collaborative project between the Faculties of Medicine and Surgery and Engineering, with the aim of identifying imaging characteristics specific to lung cancer and using them as biomarkers to predict response to oncological therapies. || The project combines radiological and anatomo-pathological images with other clinical information to build personalized image-analysis models for stage III-IV non-small cell lung cancer. The goal is to convert heterogeneous medical data into a single and interpretable biomarker signature to support precision medicine.",Internal research project,Imaging characteristics specific to lung cancer used as biomarkers for response prediction.; Multimodal analysis of radiological and anatomo-pathological images with clinical information.; Quantitative biomarker signatures for therapy selection in stage III-IV non-small cell lung cancer.,claro,https://www.unicampus.it/progetto-di-ricerca/claro-a-collaborative-multi-sources-radiopathomics-approach-for-personalized-oncology-in-non-small-cell-lung-cancer/,A collaborative multi-source radiopathomics project for personalized oncology in non-small cell lung cancer.,RadioPathomics; Personalized Oncology; Decision Support
publish,CESM@UCBM,cesm-ucbm,Contrast-Enhanced Spectral Mammography at UCBM,ended,Clinical Application,cesm-vce.png,Università Campus Bio-Medico di Roma; Fondazione Policlinico Universitario Campus Bio-Medico,2021,2024,"CESM@UCBM studies virtual contrast enhancement in contrast-enhanced spectral mammography. The central technical goal is to generate synthetic recombined images from low-energy acquisitions only, preserving the clinical value of CESM while reducing the burden associated with contrast administration and higher radiation exposure. || The project is also a data resource effort. It released a curated in-house dataset of 1138 CESM images collected at the Fondazione Policlinico Universitario Campus Bio-Medico, with acquisition metadata and lesion-related annotations that support reproducible research on generative models and breast imaging analysis.",,"Virtual contrast enhancement from low-energy images only, reducing reliance on contrast medium and double acquisition.; Public release of a 1138-image CESM dataset with imaging and clinical annotations.; Comparative evaluation of autoencoder, Pix2Pix, and CycleGAN approaches with radiologist assessment.",cesm-ucbm,,"Deep generative modelling for virtual contrast enhancement in spectral mammography, supported by a publicly released in-house CESM dataset.",Generative AI; Mammography; Dataset Curation
publish,We-ease-it,we-ease-it,Hospital 4.0 telemonitoring platform for frail patients,ended,Clinical Application,we-ease-it-model.png,Università Campus Bio-Medico di Roma; Fondazione Policlinico Universitario Campus Bio-Medico,2021,2024,"We-ease-it aimed to build an intelligent Hospital 4.0 service for telemonitoring frail patients outside the hospital while keeping care pathways tightly connected to institutional information systems. The project addressed an increasingly urgent healthcare problem: supporting chronic, elderly, and vulnerable patients without relying only on conventional in-hospital workflows. || The technical programme combined home monitoring, hospital data integration, and AI-driven data mining to build personalized predictive models of disease evolution. The platform architecture followed an M-shaped model, with a horizontal core and disease-specific vertical modules, and targeted COPD, heart failure, and NSCLC as primary use cases.",,"Hospital 4.0 service for intelligent telemonitoring of frail, chronic, and oncologic patients.; Integration of daily-life signals with hospital information systems through an M-shaped platform architecture.; Personalized predictive models for COPD, heart failure, and non-small cell lung cancer.",we-ease-it,,"Hospital 4.0 telemonitoring platform for frail patients, combining home-life data, hospital information systems, and AI-driven predictive models.",Telemonitoring; Digital Health; Predictive Modelling
publish,Visual4DTracker,visual4dtracker,Visual interaction and tracking for 3D+t biomedical image stacks,ended,Research Software,visual4dtracker-gui.png,Università Campus Bio-Medico di Roma,,,"Visual4DTracker appears in the previous lab portfolio as a software-focused effort centered on the interaction with 3D+t image stacks. The available archived material is minimal, but it clearly identifies the project as part of the lab’s imaging tooling line rather than as a conventional funded clinical project. || In the current site, it is represented as a compact research software page that can later be enriched with interface screenshots, supported use cases, and links to related publications or code repositories.",,Visual interaction with 3D+t image stacks for analysis and exploration workflows.; Software-oriented support for tracking and inspection in temporal biomedical imaging data.; Reusable tooling that complements the lab's broader imaging and computer vision work.,visual4dtracker,,"Software-oriented line on visual interaction with 3D+t image stacks, supporting exploration, tracking, and analysis workflows for biomedical image sequences.",Image Analysis; Research Software; Visual Tracking
publish,MISE,mise,Piattaforma per la Medicina di Precisione. Intelligenza Artificiale e Diagnostica Clinica Integrata,ended,Industrial Research,mise-ai-overview.png,Bracco Imaging; Orobix; INNOMED; Istituto Italiano di Tecnologia; Universita Campus Bio-Medico di Roma,,,"MISE develops a collaborative technological platform for precision medicine and integrated clinical diagnostics. The project focuses on distributed clinical data aggregation, standardised information sharing, and AI methods that can learn from multiple clinical sources while preserving data locality. || ArCo's contribution is centred on the integration of AI algorithms and clinical applications, with emphasis on federated learning, model-parameter sharing, and consensus models for clinical research.",,Federated learning methods for distributed clinical research across multiple data holders.; Consensus models that can be trained without centralising sensitive clinical data.; Integration of AI algorithms with clinical applications for precision medicine workflows.,mise,,"Collaborative platform for precision medicine, federated learning, and integrated clinical diagnostics.",Precision Medicine; Federated Learning; Clinical Data Integration
publish,FAIR,fair,Future Artificial Intelligence Research - Resilient AI,ended,National Partnership,fair-preview.jpg,Fondazione FAIR; Consiglio Nazionale delle Ricerche; Universita Campus Bio-Medico di Roma,2023,2025,"FAIR is the Italian PNRR extended partnership dedicated to Future Artificial Intelligence Research. The programme addresses core AI challenges including human-centred interaction, integration across data sources, resilience, adaptability, quality, sustainability, and bio-inspired intelligence. || Within this national ecosystem, ArCo contributes to the Resilient AI line with expertise in multimodal biomedical AI, explainable decision support, missing modalities, adversarial robustness, fairness, and robust learning for medical data collected in real-world clinical settings.",,"Human-centred AI methods designed to collaborate with people and operate in evolving contexts.; Robust and resilient learning under noisy, incomplete, inconsistent, and real-world data.; Data augmentation, adversarial robustness, fairness, and multimodal representation learning for biomedical case studies.",fair,https://fondazione-fair.it/,"National PNRR partnership for human-centred and resilient artificial intelligence, including ArCo's work on robust multimodal biomedical AI.",Trustworthy AI; Resilient AI; Multimodal Learning
publish,Rome Technopole,rome-technopole,Human-Centric Artificial Intelligence - Flagship Project 8,active,Innovation Ecosystem,rome-technopole-fp8.jpg,Fondazione Rome Technopole; Universita Campus Bio-Medico di Roma; Unidata; UniCredit; ENEA,,,"Rome Technopole Flagship Project 8 addresses human-centric artificial intelligence. The project promotes ethical and responsible AI, with attention to technologies that support people, improve digital ecosystems, and align with emerging European principles. || The official Rome Technopole material identifies Universita Campus Bio-Medico di Roma in the work on ethical and moral implications of AI and sustainable adoption of intelligent technologies.",,"Human-centred AI technologies that support people without replacing human responsibility.; Ethical and moral analysis of intelligent technologies and sustainable adoption.; AI and analytics activities for knowledge transfer, training, and enterprise adoption.",rome-technopole,https://www.rometechnopole.it/progetti-flagship-project-8/,"Rome Technopole activity on human-centric artificial intelligence, ethics, adoption, and AI analytics.",Human-Centric AI; AI Ethics; AI Analytics
